248.5157 	EXP 	Sound  stopped
248.5157 	EXP 	Sound  started
249.3217 	EXP 	Sound  stopped
249.3217 	EXP 	Sound  started
250.1297 	EXP 	Sound  stopped
250.1297 	EXP 	Sound  started
250.9372 	EXP 	Sound  stopped
250.9373 	EXP 	Sound  started
251.7462 	EXP 	Sound  stopped
251.7463 	EXP 	Sound  started
252.5540 	EXP 	Sound  stopped
252.5540 	EXP 	Sound  started
253.3621 	EXP 	Sound  stopped
253.3622 	EXP 	Sound  started
254.1691 	EXP 	Sound  stopped
254.1691 	EXP 	Sound  started
254.9771 	EXP 	Sound  stopped
254.9771 	EXP 	Sound  started
255.7840 	EXP 	Sound  stopped
255.7840 	EXP 	Sound  started
256.5924 	EXP 	Sound  stopped
256.5924 	EXP 	Sound  started
257.4008 	EXP 	Sound  stopped
257.4008 	EXP 	Sound  started
258.2110 	EXP 	Sound  stopped
258.2110 	EXP 	Sound  started
259.0187 	EXP 	Sound  stopped
259.0187 	EXP 	Sound  started
259.8266 	EXP 	Sound  stopped
259.8267 	EXP 	Sound  started
260.6343 	EXP 	Sound  stopped
260.6344 	EXP 	Sound  started
261.4426 	EXP 	Sound  stopped
261.4426 	EXP 	Sound  started
262.2500 	EXP 	Sound  stopped
262.2500 	EXP 	Sound  started
263.0578 	EXP 	Sound  stopped
263.0579 	EXP 	Sound  started
263.8660 	EXP 	Sound  stopped
263.8661 	EXP 	Sound  started
264.6739 	EXP 	Sound  stopped
264.6739 	EXP 	Sound  started
265.4813 	EXP 	Sound  stopped
265.4813 	EXP 	Sound  started
266.2886 	EXP 	Sound  stopped
266.2887 	EXP 	Sound  started
267.0968 	EXP 	Sound  stopped
267.0969 	EXP 	Sound  started
267.9047 	EXP 	Sound  stopped
267.9047 	EXP 	Sound  started
268.7128 	EXP 	Sound  stopped
268.7128 	EXP 	Sound  started
269.5208 	EXP 	Sound  stopped
269.5209 	EXP 	Sound  started
270.3284 	EXP 	Sound  stopped
270.3284 	EXP 	Sound  started
271.1360 	EXP 	Sound  stopped
271.1361 	EXP 	Sound  started
271.9436 	EXP 	Sound  stopped
271.9436 	EXP 	Sound  started
272.7510 	EXP 	Sound  stopped
272.7510 	EXP 	Sound  started
273.5580 	EXP 	Sound  stopped
273.5580 	EXP 	Sound  started
274.3659 	EXP 	Sound  stopped
274.3659 	EXP 	Sound  started
275.1730 	EXP 	Sound  stopped
275.1730 	EXP 	Sound  started
275.9810 	EXP 	Sound  stopped
275.9810 	EXP 	Sound  started
276.7878 	EXP 	Sound  stopped
276.7878 	EXP 	Sound  started
277.5953 	EXP 	Sound  stopped
277.5954 	EXP 	Sound  started
278.4023 	EXP 	Sound  stopped
278.4023 	EXP 	Sound  started
279.2099 	EXP 	Sound  stopped
279.2099 	EXP 	Sound  started
280.0177 	EXP 	Sound  stopped
280.0177 	EXP 	Sound  started
280.8250 	EXP 	Sound  stopped
280.8250 	EXP 	Sound  started
281.6329 	EXP 	Sound  stopped
281.6330 	EXP 	Sound  started
282.4399 	EXP 	Sound  stopped
282.4399 	EXP 	Sound  started
283.2505 	EXP 	Sound  stopped
283.2505 	EXP 	Sound  started
284.0576 	EXP 	Sound  stopped
284.0577 	EXP 	Sound  started
284.8653 	EXP 	Sound  stopped
284.8653 	EXP 	Sound  started
285.6730 	EXP 	Sound  stopped
285.6730 	EXP 	Sound  started
286.4806 	EXP 	Sound  stopped
286.4806 	EXP 	Sound  started
287.2869 	EXP 	Sound  stopped
287.2869 	EXP 	Sound  started
288.0947 	EXP 	Sound  stopped
288.0948 	EXP 	Sound  started
288.9018 	EXP 	Sound  stopped
288.9019 	EXP 	Sound  started
292.7436 	EXP 	window1: mouseVisible = True
