162.5325 	EXP 	Sound  started
163.3404 	EXP 	Sound  stopped
163.3404 	EXP 	Sound  started
164.1489 	EXP 	Sound  stopped
164.1490 	EXP 	Sound  started
164.9567 	EXP 	Sound  stopped
164.9567 	EXP 	Sound  started
165.7642 	EXP 	Sound  stopped
165.7643 	EXP 	Sound  started
166.5722 	EXP 	Sound  stopped
166.5723 	EXP 	Sound  started
167.3814 	EXP 	Sound  stopped
167.3814 	EXP 	Sound  started
168.1888 	EXP 	Sound  stopped
168.1888 	EXP 	Sound  started
168.9967 	EXP 	Sound  stopped
168.9967 	EXP 	Sound  started
169.8038 	EXP 	Sound  stopped
169.8038 	EXP 	Sound  started
170.6120 	EXP 	Sound  stopped
170.6121 	EXP 	Sound  started
171.4183 	EXP 	Sound  stopped
171.4183 	EXP 	Sound  started
172.2266 	EXP 	Sound  stopped
172.2267 	EXP 	Sound  started
173.0335 	EXP 	Sound  stopped
173.0335 	EXP 	Sound  started
173.8414 	EXP 	Sound  stopped
173.8414 	EXP 	Sound  started
176.3621 	DATA 	Keypress: space
176.4659 	EXP 	block_progress: height = 0.04
176.4659 	EXP 	block_progress: height = 0.04
176.4659 	EXP 	block_progress: height = 0.04
176.4659 	EXP 	block_progress: text = 'Block 3/3'
178.4760 	EXP 	Sound  stopped
178.4760 	EXP 	Sound  started
179.2828 	EXP 	Sound  stopped
179.2828 	EXP 	Sound  started
180.0908 	EXP 	Sound  stopped
180.0908 	EXP 	Sound  started
180.8972 	EXP 	Sound  stopped
180.8972 	EXP 	Sound  started
181.7053 	EXP 	Sound  stopped
181.7053 	EXP 	Sound  started
182.5127 	EXP 	Sound  stopped
182.5127 	EXP 	Sound  started
183.3202 	EXP 	Sound  stopped
183.3202 	EXP 	Sound  started
184.1283 	EXP 	Sound  stopped
184.1283 	EXP 	Sound  started
184.9349 	EXP 	Sound  stopped
184.9349 	EXP 	Sound  started
185.7424 	EXP 	Sound  stopped
185.7424 	EXP 	Sound  started
186.5499 	EXP 	Sound  stopped
186.5499 	EXP 	Sound  started
187.3575 	EXP 	Sound  stopped
187.3575 	EXP 	Sound  started
188.1651 	EXP 	Sound  stopped
188.1651 	EXP 	Sound  started
188.9731 	EXP 	Sound  stopped
188.9731 	EXP 	Sound  started
189.7812 	EXP 	Sound  stopped
189.7812 	EXP 	Sound  started
190.5890 	EXP 	Sound  stopped
190.5890 	EXP 	Sound  started
191.3967 	EXP 	Sound  stopped
191.3967 	EXP 	Sound  started
192.2047 	EXP 	Sound  stopped
192.2047 	EXP 	Sound  started
193.0116 	EXP 	Sound  stopped
193.0117 	EXP 	Sound  started
193.8199 	EXP 	Sound  stopped
193.8199 	EXP 	Sound  started
194.6279 	EXP 	Sound  stopped
194.6279 	EXP 	Sound  started
195.4348 	EXP 	Sound  stopped
195.4348 	EXP 	Sound  started
196.2423 	EXP 	Sound  stopped
196.2424 	EXP 	Sound  started
197.0499 	EXP 	Sound  stopped
197.0500 	EXP 	Sound  started
197.8576 	EXP 	Sound  stopped
197.8576 	EXP 	Sound  started
198.6652 	EXP 	Sound  stopped
198.6652 	EXP 	Sound  started
199.4731 	EXP 	Sound  stopped
199.4731 	EXP 	Sound  started
200.2815 	EXP 	Sound  stopped
200.2816 	EXP 	Sound  started
201.0886 	EXP 	Sound  stopped
